,date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,cCFR,cum_subn,newCases_regression,real_newCases,Re,Re_ub,Re_lb
0,2020-03-20,Brazil,MA,São Luís/MA,2111300,0,0,1,1,0.0,0.09075,0.0,SES,0.026983491092575324,0.24348220834211393,1.2122574644137354,0,0.0,0.0,0.0
1,2020-03-21,Brazil,MA,São Luís/MA,2111300,0,0,1,2,0.0,0.18151,0.0,SES,0.026983491092575324,0.24348220834211393,1.5266430741016281,12,0.0,0.0,0.0
2,2020-03-22,Brazil,MA,São Luís/MA,2111300,0,0,0,2,0.0,0.18151,0.0,SES,0.026983491092575324,0.24348220834211393,1.909710503848986,3,0.0,0.0,0.0
3,2020-03-23,Brazil,MA,São Luís/MA,2111300,0,0,6,8,0.0,0.7260300000000001,0.0,SES,0.026983491092575324,0.24348220834211393,2.373156782537625,15,0.0,0.0,0.0
4,2020-03-24,Brazil,MA,São Luís/MA,2111300,0,0,0,8,0.0,0.7260300000000001,0.0,SES,0.026983491092575324,0.24348220834211393,2.92991946207188,13,0.0,0.0,0.0
5,2020-03-25,Brazil,MA,São Luís/MA,2111300,0,0,0,8,0.0,0.7260300000000001,0.0,SES,0.026983491092575324,0.24348220834211393,3.5941548225416513,16,0.0,0.0,0.0
6,2020-03-26,Brazil,MA,São Luís/MA,2111300,0,0,2,10,0.0,0.90754,0.0,SES,0.026983491092575324,0.24348220834211393,4.38118119245346,20,0.0,0.0,0.0
7,2020-03-27,Brazil,MA,São Luís/MA,2111300,0,0,3,13,0.0,1.1798,0.0,SES,0.026983491092575324,0.24348220834211393,5.307383532200857,21,0.0,0.0,0.0
8,2020-03-28,Brazil,MA,São Luís/MA,2111300,0,0,2,15,0.0,1.3613,0.0,SES,0.026983491092575324,0.24348220834211393,6.390076294718021,16,0.0,0.0,0.0
9,2020-03-29,Brazil,MA,São Luís/MA,2111300,1,1,6,21,0.09075,1.90583,0.047619999999999996,SES,0.026983491092575324,0.24348220834211393,7.647322688269425,34,0.0,0.0,0.0
