epi_week;date;country;state;city;ibgeID;cod_RegiaoDeSaude;name_RegiaoDeSaude;newDeaths;deaths;newCases;totalCases;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;_source;last_info_date
11;08/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;1;1;0;0,09814;0;SES;26/07/2020
11;09/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
11;10/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
11;11/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
11;12/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
11;13/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
11;14/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
12;15/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
12;16/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
12;17/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
12;18/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;1;0;0,09814;0;SES;26/07/2020
12;19/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;3;4;0;0,39256;0;SES;26/07/2020
12;20/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;2;6;0;0,58884;0;SES;26/07/2020
12;21/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;1;7;0;0,68698;0;SES;26/07/2020
13;22/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;7;0;0,68698;0;SES;26/07/2020
13;23/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;1;8;0;0,78512;0;SES;26/07/2020
13;24/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;2;10;0;0,9814;0;SES;26/07/2020
13;25/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;10;0;0,9814;0;SES;26/07/2020
13;26/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;10;0;0,9814;0;SES;26/07/2020
13;27/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;1;11;0;1,07954;0;SES;26/07/2020
13;28/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;2;13;0;1,27583;0;SES;26/07/2020
14;29/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;-1;12;0;1,17769;0;SES;26/07/2020
14;30/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;0;0;12;0;1,17769;0;SES;26/07/2020
14;31/03/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;1;1;1;13;0,09814;1,27583;0,07692;SES;26/07/2020
14;01/04/2020;Brazil;AL;Maceió/AL;2704302;27001;1ª Região de Saúde;0;1;0;13;0,09814;1,27583;0,07692;SES;26/07/2020
