epi_week;date;country;state;city;ibgeID;cod_RegiaoDeSaude;name_RegiaoDeSaude;newDeaths;deaths;newCases;totalCases;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;_source;last_info_date
12;16/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;8;8;0;0,2997;0;SES;25/07/2020
12;17/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;1;9;0;0,33716;0;SES;25/07/2020
12;18/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;8;17;0;0,63686;0;SES;25/07/2020
12;19/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;0;17;0;0,63686;0;SES;25/07/2020
12;20/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;46;63;0;2,36013;0;SES;25/07/2020
12;21/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;13;76;0;2,84714;0;SES;25/07/2020
13;22/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;40;116;0;4,34564;0;SES;25/07/2020
13;23/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;35;151;0;5,65682;0;SES;25/07/2020
13;24/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;19;170;0;6,36861;0;SES;25/07/2020
13;25/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;0;26;196;0;7,34263;0;SES;25/07/2020
13;26/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;3;3;28;224;0,11239;8,39158;0,01339;SES;25/07/2020
13;27/03/2020;Brazil;CE;Fortaleza/CE;2304400;23001;1ª Região Fortaleza;0;3;44;268;0,11239;10,03993;0,01119;SES;25/07/2020
