epi_week;date;country;state;city;ibgeID;cod_RegiaoDeSaude;name_RegiaoDeSaude;newDeaths;deaths;newCases;totalCases;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;_source;last_info_date
12;20/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;1;1;0;0,09075;0;SES;25/07/2020
12;21/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;1;2;0;0,18151;0;SES;25/07/2020
13;22/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;0;2;0;0,18151;0;SES;25/07/2020
13;23/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;6;8;0;0,72603;0;SES;25/07/2020
13;24/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;0;8;0;0,72603;0;SES;25/07/2020
13;25/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;0;8;0;0,72603;0;SES;25/07/2020
13;26/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;2;10;0;0,90754;0;SES;25/07/2020
13;27/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;3;13;0;1,1798;0;SES;25/07/2020
13;28/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;0;2;15;0;1,3613;0;SES;25/07/2020
14;29/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;1;1;6;21;0,09075;1,90583;0,04762;SES;25/07/2020
14;30/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;1;9;30;0,09075;2,72261;0,03333;SES;25/07/2020
14;31/03/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;1;21;51;0,09075;4,62844;0,01961;SES;25/07/2020
14;01/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;1;17;68;0,09075;6,17125;0,01471;SES;25/07/2020
14;02/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;1;10;78;0,09075;7,07879;0,01282;SES;25/07/2020
14;03/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;1;4;82;0,09075;7,4418;0,0122;SES;25/07/2020
14;04/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;1;2;4;86;0,18151;7,80481;0,02326;SES;25/07/2020
15;05/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;2;35;121;0,18151;10,98119;0,01653;SES;25/07/2020
15;06/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;2;4;31;152;0,36301;13,79456;0,02632;SES;25/07/2020
15;07/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;7;11;51;203;0,99829;18,42299;0,05419;SES;25/07/2020
15;08/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;0;11;25;228;0,99829;20,69183;0,04825;SES;25/07/2020
15;09/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;3;14;19;247;1,27055;22,41615;0,05668;SES;25/07/2020
15;10/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;5;19;41;288;1,72432;26,13705;0,06597;SES;25/07/2020
15;11/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;3;22;45;333;1,99658;30,22097;0,06607;SES;25/07/2020
16;12/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;3;25;36;369;2,26884;33,4881;0,06775;SES;25/07/2020
16;13/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;5;30;23;392;2,72261;35,57543;0,07653;SES;25/07/2020
16;14/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;2;32;141;533;2,90412;48,3717;0,06004;SES;25/07/2020
16;15/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;2;34;49;582;3,08562;52,81863;0,05842;SES;25/07/2020
16;16/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;1;35;82;664;3,17638;60,26043;0,05271;SES;25/07/2020
16;17/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;3;38;198;862;3,44864;78,22965;0,04408;SES;25/07/2020
16;18/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;2;40;128;990;3,63015;89,84612;0,0404;SES;25/07/2020
17;19/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;3;43;85;1075;3,90241;97,56018;0,04;SES;25/07/2020
17;20/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;4;47;57;1132;4,26542;102,73314;0,04152;SES;25/07/2020
17;21/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;4;51;168;1300;4,62844;117,97975;0,03923;SES;25/07/2020
17;22/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;10;61;117;1417;5,53597;128,59793;0,04305;SES;25/07/2020
17;23/04/2020;Brazil;MA;São Luís/MA;2111300;21016;São Luís;10;71;150;1567;6,44351;142,21098;0,04531;SES;25/07/2020
