Si,Sj,Ei,Ej,Ii,Ij,Ri,Rj,Hi,Hj,Ui,Uj,Mi,Mj
41971480.0,167963760.0,20000.0,20000.0,5520.0,10000.0,3000.0,6240.0,1451.76,1540.0,391.91999999999996,300.0,102.00000000000001,12.48
41970766.564785674,167960904.93601096,16713.43521432381,18855.06398902857,8968.0,13000.0,3552.0,7240.0,2370.571009174312,2014.7155963302753,640.290909090909,392.72727272727275,18.768,2.0
41969756.740147695,167956863.76464564,14380.572809439518,19125.222556536602,11413.887042864762,15471.012797805713,4448.8,8540.0,3032.2141226244134,2410.6152739510458,819.4134246714972,470.1551773226012,30.491200000000003,2.6
41968520.925278895,167951918.21323723,12740.273116352188,20245.72945365355,13148.612900466189,17748.95602933246,5590.188704286476,10087.10127978057,3510.447470508784,2778.5147641097083,949.1254290499477,542.1651329052207,38.8072159457402,3.0942025595611433
41967100.702366136,167946234.68765116,11612.441405839918,21880.1091489878,14381.806233690008,20023.206317129923,6905.049994333095,11861.996882713816,3858.5264354648007,3147.1736198960257,1043.753177388517,614.3517702721219,44.705283861585045,3.5497912058664927
41965519.31148962,167939906.19130912,10871.344001190406,23832.583661223885,15266.11389148899,22396.90751521449,8343.230617702096,13864.31751442681,4115.347602451907,3532.349456923747,1113.7631928615788,689.7822642322195,48.898141194546035,4.004641263425985
41963788.23483248,167932978.67423844,10428.151858093153,25993.583999656734,15913.771302578172,24923.733495937817,9869.842006850995,16104.00826594826,4309.625471001504,3942.3242761735023,1166.88507832743,770.0702876329974,51.90478723106258,4.479381503042899
41961911.3292478,167925467.57100433,10219.427071154963,28305.970433824474,16408.024543938987,27630.07694627538,11461.219137108812,18596.381615542043,4462.767775159084,4381.24553710848,1208.8843730462227,856.0254018461198,54.10682242876579,4.984746699187563
41959887.41367988,167917368.15519363,10199.457224844837,30744.19215776065,16811.107503776082,30528.26333841274,13102.021591502711,21359.38931016958,4590.881402848708,4851.120294625459,1244.1016580887847,948.0407333721467,55.78728344939257,5.526015389255077
41957711.882373795,167908661.99524483,10335.097085960237,33301.5136750033,17169.88819836744,33624.2754361236,14783.132341880319,24412.215644010852,4706.191072797683,5352.984505320684,1275.8337999462374,1046.320365103061,57.15776551283869,6.105652667682549
41955377.70340661,167899320.95042485,10602.256635953372,35982.255759993255,17519.918795722744,36922.1506275119,16500.121161717063,27774.643187623213,4818.05653063867,5887.571630609805,1306.6072876626693,1151.0094139618934,58.3776198744493,6.724855087224721
41952876.02890809,167889309.6128435,10983.479807284533,38797.14218931987,17888.378243341143,40426.38671675936,18252.113041289336,31466.858250374404,4933.711694768838,6455.680921723119,1338.376851196601,1262.2657290707716,59.567723905457335,7.384430125502381
41950196.55945972,167878586.7657256,11466.253294189446,41760.56086935541,18296.236380463935,44143.176482947405,20040.95086562345,35509.49692205034,5058.808632194497,7058.368596408931,1372.6716416239867,1380.2971522911662,60.8204860273599,8.085277343351873
41947327.75232727,167867106.21672705,12041.809767807717,44888.99769404608,18759.863401255432,48080.971008523746,21870.574503669843,39923.81457034508,5197.822671781293,7697.037119220956,1410.7041073447508,1505.3789582081017,62.207203693577384,8.828635296589482
41944256.92990207,167854817.23190144,12704.270239446123,48200.18298085898,19292.239014691433,52250.673446480585,23746.560843795385,44731.91167119746,5354.357400266943,8373.468053773635,1453.4519781071886,1637.8603118080052,63.78353556426848,9.616194201704749
41940970.32376202,167841664.71202552,13450.022331607017,51712.66626061018,19903.869161111514,56665.642698004325,25675.78474526453,49956.979015845514,5531.376565296035,9089.825611256236,1501.720617497579,1778.1650177106133,65.59361264995088,10.450134689296117
41937453.07655414,167827589.20013303,14277.265073167842,55445.64490097801,20603.486711321766,61341.61168032593,27666.17166137568,55623.543285645945,5731.382000003147,9848.646776921907,1556.190878470255,1926.789650027855,67.67315514777916,11.333128539600866
41933689.21557657,167812526.77579367,15185.673036106977,59418.940260128715,21398.59105482316,66296.57949248893,29726.520332507855,61757.70445367854,5956.551280466167,10652.827064007635,1617.4561444664878,2084.3008239766455,70.05185481849401,12.268322336065186
41929661.60668937,167796408.87067088,16176.147316079547,63653.057330879536,22295.86655656224,71550.70959526578,31866.37943799017,68387.36240292744,6208.845087627214,11505.606840165688,1686.0512339004351,2251.3325724486317,72.75520958639875,13.259315898497787
41925351.8938721,167779162.02663988,17250.630670141196,68169.28989570113,23301.509364121925,77126.25010191511,34095.96609364639,75542.43336245402,6490.091621074354,12410.560745391118,1762.475140888725,2428.5843189385787,75.80594629231163,14.310141919053159
41920740.42765414,167760707.60937652,18411.970754070822,72989.84917993075,24421.484561737972,83047.48307086383,36426.11703005859,83255.05837264552,6802.053544683932,13371.591319555675,1847.2090835966642,2616.8196656820055,79.22513183801455,15.425250020383023
41915806.184320256,167740961.48502937,19663.8199371399,78138.00369109568,25661.730256378338,89340.7045997636,38868.26548623238,91559.8066797319,7146.481596744027,14392.9271770906,1940.730969795682,2816.8660638814076,83.03304750990912,16.609496614172766
41910526.67695294,167719833.66422436,21010.563317024495,83638.2237578975,27028.321218168483,96034.23487800638,41434.43851187022,100493.87713970826,7525.158011974831,15479.125656180879,2043.5271247398248,3029.615352947854,87.24988287168637,17.868140919952722
41904877.858837485,167697227.91550574,22457.268769079754,89516.32772494317,28527.601759756533,103158.45614178524,44137.27063368707,110097.3006275089,7939.932173461803,16635.079676714868,2156.101930683407,3256.025117954525,91.89629214177286,19.206846975601277
41898834.01941092,167673041.3489391,24009.65444182313,95799.62874661238,30166.29533759683,110745.87607259535,46990.03080966272,120413.14624168743,8392.750366361104,17866.028471861937,2278.985880778575,3497.1208008537724,96.99384598317222,20.63169122835705
41892367.67271243,167647163.96970582,25674.070251948968,102517.08223057032,31951.596692201776,118831.21421465829,50006.6603434224,131487.73384894695,8885.681092169707,19177.57185635283,2412.742439236229,3753.998500528558,102.56540414782924,22.14917521451907
41885449.4381446,167619478.20092726,27457.490769388263,109699.43456303039,33891.25107337139,127451.50923930653,53201.82001264258,143370.85527041278,9420.937087223167,20575.68772700368,2557.9740150651564,4027.828402954838,108.63542875348605,23.76624284293166
41878047.913255386,167589858.37455642,29367.517504730095,117379.37402125726,35993.62411991191,136646.24522798194,56590.94511997972,156116.00619434344,10000.894946901873,22066.75253842541,2715.3272917118193,4319.858791882581,115.23025364946275,25.49030184786131
41870129.53818078,167558170.1888975,31412.389078386586,125591.68487594655,38267.76520886674,146457.4955094352,60190.30753197091,169780.63071714164,10628.11306976977,23657.564548332848,2885.4981046688213,4631.420600384435,122.3783220077005,27.329249045596388
41861658.451338366,167524270.1311121,33600.99810512541,134373.40568615682,40723.46650365738,156930.08293368097,64017.084052857586,184426.38026808517,11305.348490359898,25355.369676609906,3069.2360200665635,4963.932473241529,130.11040171014693,29.29149910188704
